variable,count_informed,count_missing,%_missing,nunique,top,freq,mean,std,min,max,type
rownumber,10000,0,0.0,10000,,,5000.5,2886.8956799071675,1,10000,int64
customerid,10000,0,0.0,10000,,,15690940.5694,71936.18612274883,15565701,15815690,int64
surname,10000,0,0.0,2932,Smith,32,,,,,object
creditscore,10000,0,0.0,460,,,650.5288,96.65329873613061,350,850,int64
geography,10000,0,0.0,3,France,5014,,,,,object
gender,10000,0,0.0,2,Male,5457,,,,,object
age,10000,0,0.0,70,,,38.9218,10.487806451704591,18,92,int64
tenure,10000,0,0.0,11,,,5.0128,2.892174377049708,0,10,int64
balance,10000,0,0.0,6382,,,76485.88928799961,62397.40520238623,0.0,250898.09,float64
numofproducts,10000,0,0.0,4,1,5084,,,,,object
hascrcard,10000,0,0.0,2,1,7055,,,,,object
isactivemember,10000,0,0.0,2,1,5151,,,,,object
estimatedsalary,10000,0,0.0,9999,,,100090.2398809998,57510.49281769822,11.58,199992.48,float64
exited,10000,0,0.0,2,,,0.2037,0.40276858399484955,0,1,int64
